date,channel,video_id,title,privacy,publish_at,views,likes,comments,subs,channel_views
2026-08-06,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,4,0,0,0,11
2026-08-06,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,7,0,0,0,7
2026-08-06,AI Unpacked,xZirrXHzM4Q,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",private,2026-08-07T10:30:00Z,0,0,0,3,524
2026-08-06,AI Unpacked,qS-VzOsMFiA,I Built an AI Factory That Makes My Videos 🏭 (It Made This One),public,,72,0,0,3,524
2026-08-06,AI Unpacked,cv1nzSC7mMY,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",unlisted,,2,0,0,3,524
2026-08-06,AI Unpacked,gJEP-90DWLc,Everyone Knows You Used AI — One Line Fixes It ✍️,private,2026-08-11T10:30:00Z,0,0,0,3,524
2026-08-06,AI Unpacked,o7OR8DmBS3k,The Best AI Just Got Cheaper (You're Overpaying) 💸,public,,22,0,0,3,524
2026-08-06,AI Unpacked,YrjPbZK28Oo,"Those 20 ""Secret"" Claude Commands? FAKE 🤫 (Here's The Real Trick) | Ep 11",private,2026-08-10T10:30:00Z,3,0,0,3,524
2026-08-06,AI Unpacked,Qn_fq2PVV9M,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯 | Ep 4",public,,118,2,0,3,524
2026-08-06,AI Unpacked,cMvgljptrHw,Cut Your AI Bill In Half (Most People Miss This) 💸 | Ep 10,private,2026-08-09T10:30:00Z,1,0,0,3,524
2026-08-06,AI Unpacked,wCLwsYKmIwA,Claude Has A DESKTOP App (Most People Miss It) 🖥️ | Ep 9,private,2026-08-08T10:30:00Z,2,0,0,3,524
2026-08-06,AI Unpacked,369SVWp1zbI,"The Effort Dial Nobody Uses (Deeper Answers, Free) 🧠 | Ep 8",unlisted,,5,0,0,3,524
2026-08-06,AI Unpacked,Q45WV2CWf9g,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑 | Ep 3,public,,147,1,0,3,524
2026-08-06,AI Unpacked,pSpkEbSiTHU,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑 | Ep 2,public,,116,1,0,3,524
2026-08-06,AI Unpacked,xwgEF4W5Qzc,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed) | Ep 5,unlisted,,2,0,0,3,524
2026-08-06,AI Unpacked,Y8MdxiUgkbo,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑 | Ep 1,public,,142,1,0,3,524
2026-08-06,Aashiqana,n99gzIbFrpc,"बारिश और तुम — Baarish ban ke tu, mujh mein barasta ja 🌧️ #shorts",public,,4,2,0,1,117
2026-08-06,Aashiqana,aT5c5fJ38WM,"Tu Hi Hai (Baarish Aur Tum) — ""Baarish ban ke tu, mujh mein barasta ja"" | Aashiqana",public,,4,0,0,1,117
2026-08-06,Aashiqana,TMVJHHv7v4c,Aaja Ve 🥀 golden hour hits different | New Hindi Love Song 2026 #shorts,public,,59,1,0,1,117
2026-08-06,Aashiqana,ZQQvRrGWGLk,Aaja Ve 🥀 | New Hindi Love Song 2026 | Golden Hour Romantic Song,public,,22,0,0,1,117
2026-08-06,Aashiqana,1yWfA_Tg61Y,Tu Hi Hai 🌧️❤️ | Hindi Romantic Song #Shorts,public,,37,0,0,1,117
2026-08-06,Aashiqana,TRmiRnKEKJc,Tu Hi Hai (Baarish Aur Tum) 🌧️❤️ | Hindi Romantic Song | Aashiqana,public,,2,0,0,1,117
2026-08-06,Aashiqana,4EgwUVBN7Ng,"🗑️ DELETE — karaoke v2 (drift, superseded)",private,,0,0,0,1,117
2026-08-06,Aashiqana,_HNZAhV2a_c,🗑️ DELETE — static lyrics (superseded by karaoke),private,,1,0,0,1,117
2026-08-07,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,public,,1,0,0,0,4
2026-08-07,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-07,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",public,,1,0,0,0,4
2026-08-07,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-07,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,4
2026-08-07,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,4
2026-08-07,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,8,0,0,0,11
2026-08-07,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,11
2026-08-07,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,11
2026-08-07,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,5,0,0,0,11
2026-08-07,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,7,0,0,0,7
2026-08-07,AI Unpacked,xZirrXHzM4Q,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",private,2026-08-07T10:30:00Z,0,0,0,3,549
2026-08-07,AI Unpacked,qS-VzOsMFiA,I Built an AI Factory That Makes My Videos 🏭 (It Made This One),public,,174,0,0,3,549
2026-08-07,AI Unpacked,cv1nzSC7mMY,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",unlisted,,2,0,0,3,549
2026-08-07,AI Unpacked,gJEP-90DWLc,Everyone Knows You Used AI — One Line Fixes It ✍️,private,2026-08-11T10:30:00Z,0,0,0,3,549
2026-08-07,AI Unpacked,o7OR8DmBS3k,The Best AI Just Got Cheaper (You're Overpaying) 💸,public,,22,0,0,3,549
2026-08-07,AI Unpacked,YrjPbZK28Oo,"Those 20 ""Secret"" Claude Commands? FAKE 🤫 (Here's The Real Trick) | Ep 11",private,2026-08-10T10:30:00Z,3,0,0,3,549
2026-08-07,AI Unpacked,Qn_fq2PVV9M,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯 | Ep 4",public,,119,2,0,3,549
2026-08-07,AI Unpacked,cMvgljptrHw,Cut Your AI Bill In Half (Most People Miss This) 💸 | Ep 10,private,2026-08-09T10:30:00Z,1,0,0,3,549
2026-08-07,AI Unpacked,wCLwsYKmIwA,Claude Has A DESKTOP App (Most People Miss It) 🖥️ | Ep 9,private,2026-08-08T10:30:00Z,2,0,0,3,549
2026-08-07,AI Unpacked,369SVWp1zbI,"The Effort Dial Nobody Uses (Deeper Answers, Free) 🧠 | Ep 8",unlisted,,5,0,0,3,549
2026-08-07,AI Unpacked,Q45WV2CWf9g,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑 | Ep 3,public,,147,1,0,3,549
2026-08-07,AI Unpacked,pSpkEbSiTHU,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑 | Ep 2,public,,116,1,0,3,549
2026-08-07,AI Unpacked,xwgEF4W5Qzc,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed) | Ep 5,unlisted,,2,0,0,3,549
2026-08-07,AI Unpacked,Y8MdxiUgkbo,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑 | Ep 1,public,,142,1,0,3,549
2026-08-07,Aashiqana,n99gzIbFrpc,"बारिश और तुम — Baarish ban ke tu, mujh mein barasta ja 🌧️ #shorts",public,,4,2,0,1,120
2026-08-07,Aashiqana,aT5c5fJ38WM,"Tu Hi Hai (Baarish Aur Tum) — ""Baarish ban ke tu, mujh mein barasta ja"" | Aashiqana",public,,5,0,0,1,120
2026-08-07,Aashiqana,TMVJHHv7v4c,Aaja Ve 🥀 golden hour hits different | New Hindi Love Song 2026 #shorts,public,,59,1,0,1,120
2026-08-07,Aashiqana,ZQQvRrGWGLk,Aaja Ve 🥀 | New Hindi Love Song 2026 | Golden Hour Romantic Song,public,,28,0,0,1,120
2026-08-07,Aashiqana,1yWfA_Tg61Y,Tu Hi Hai 🌧️❤️ | Hindi Romantic Song #Shorts,public,,37,0,0,1,120
2026-08-07,Aashiqana,TRmiRnKEKJc,Tu Hi Hai (Baarish Aur Tum) 🌧️❤️ | Hindi Romantic Song | Aashiqana,public,,3,0,0,1,120
2026-08-07,Aashiqana,4EgwUVBN7Ng,"🗑️ DELETE — karaoke v2 (drift, superseded)",private,,0,0,0,1,120
2026-08-07,Aashiqana,_HNZAhV2a_c,🗑️ DELETE — static lyrics (superseded by karaoke),private,,1,0,0,1,120
2026-08-08,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,public,,1,0,0,0,6
2026-08-08,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,public,,0,0,0,0,6
2026-08-08,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",public,,1,0,0,0,6
2026-08-08,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,public,,0,0,0,0,6
2026-08-08,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,6
2026-08-08,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,6
2026-08-08,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,8,0,0,0,13
2026-08-08,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,13
2026-08-08,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,13
2026-08-08,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,5,0,0,0,13
2026-08-08,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,7,0,0,0,7
2026-08-08,AI Unpacked,e_eUWv9L7wk,Stop Describing Your Document To AI — Give It The File 📄,public,,1,0,0,3,864
2026-08-08,AI Unpacked,75Mx-MHyGY8,AI Faked IDs In Its Own Safety Test 🧪 (Why That's Good News),private,2026-08-10T10:30:00Z,0,0,0,3,864
2026-08-08,AI Unpacked,_nTvx_kD1rw,"That ""AI"" Label Is The Law Now — Europe Said No To The Delay 🏷️",private,2026-08-09T10:30:00Z,0,0,0,3,864
2026-08-08,AI Unpacked,xZirrXHzM4Q,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",public,,8,0,0,3,864
2026-08-08,AI Unpacked,qS-VzOsMFiA,I Built an AI Factory That Makes My Videos 🏭 (It Made This One),public,,223,0,0,3,864
2026-08-08,AI Unpacked,cv1nzSC7mMY,"Google Just Put AI In Your Kid's Classroom 🎓 (Parents, Check This)",unlisted,,2,0,0,3,864
